nombre,descripcion,duracion,precio,sesiones,descripcion_2,descripcion_3,descripcion_4
Limpieza Facial Simple c/ extracciones - SJ,"PRECIO ABONANDO EN EFECTIVO✨

La limpieza de cutis con extracción es un tratamiento facial manual que elimina impurezas, puntos negros y exceso de sebo de la piel. Se realiza con técnicas suaves de limpieza y extracción, dejando la piel fresca, limpia y renovada. Ideal para mantener el rostro libre de obstrucciones y con una textura suave. ¡Un rostro limpio y revitalizado! ✨",1 hrs,$26.00,,,,
Limpieza Facial x4 sesiones - SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$98.00,,,,
Radiofrecuencia Facial x 4 -SJ,"PRECIO ABONANDO EN EFECTIVO✨

La radiofrecuencia facial es un tratamiento estético no invasivo que utiliza ondas de radio para estimular la producción de colágeno y elastina en la piel. Esto ayuda a tensar, reafirmar y rejuvenecer el rostro, mejorando la textura de la piel y reduciendo las arrugas. Ideal para lograr un efecto lifting sin cirugía. ¡Un rostro más firme y radiante! ✨",1 hrs,$90.00,(4 Sesiones),,,
Radiofrecuencia Facial x 6 SJ,"PRECIO ABONANDO EN EFECTIVO✨

La radiofrecuencia facial es un tratamiento estético no invasivo que utiliza ondas de radio para estimular la producción de colágeno y elastina en la piel. Esto ayuda a tensar, reafirmar y rejuvenecer el rostro, mejorando la textura de la piel y reduciendo las arrugas. Ideal para lograr un efecto lifting sin cirugía. ¡Un rostro más firme y radiante! ✨",58 min,$118.00,(6 Sesiones),,,
Hidratación Facial- SJ,PRECIO ABONANDO EN EFECTIVO✨,40 min,$14.00,,,,
Limpieza facial+ masaje facial sj,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$34.00,,,,
Limpieza facial Profunda c/ punta de diamante + Radiofrecuencia facial - SJ,"PRECIO ABONANDO EN EFECTIVO✨

La limpieza de cutis con extracción es un tratamiento profundo  que elimina impurezas, puntos negros y exceso de sebo de la piel. Trabajando con punta de diamante y radiofrecuencia .
Se realizna con técnicas suaves de limpieza y extracción, dejando la piel fresca, limpia y renovada. Ideal para mantener el rostro libre de obstrucciones y con una textura suave. ¡Un rostro limpio y revitalizado! ✨",1 hrs,$31.00,,,,
Radiofrecuencia Facial- SJ,"PRECIO ABONANDO EN EFECTIVO✨

La radiofrecuencia facial es un tratamiento estético no invasivo que utiliza ondas de radio para estimular la producción de colágeno y elastina en la piel. Esto ayuda a tensar, reafirmar y rejuvenecer el rostro, mejorando la textura de la piel y reduciendo las arrugas. Ideal para lograr un efecto lifting sin cirugía. ¡Un rostro más firme y radiante! ✨",40 min,$26.00,,,,
Belleza de manos Esmaltado tradicional - SJ,"PRECIO ABONANDO EN EFECTIVO✨

La Manicuria tradicional es el clásico cuidado de manos: limpieza, limado, retiro de cutículas y aplicación de esmalte, todo rematado con un toque de brillo y un masaje hidratante. ¡Rápido, lindo y listo! 💅✨",45 min,$17.00,,,,
Belleza de Manos Express - SJ,PRECIO ABONANDO EN EFECTIVO✨,45 min,$13.00,,,,
Belleza de Manos Kids - SJ,PRECIO ABONANDO EN EFECTIVO✨,45 min,$13.00,,,,
Cambio de Esmalte en manos - SJ,"PRECIO ABONANDO EN EFECTIVO✨

El cambio de esmalte es un servicio rápido y sencillo para renovar el color de tus uñas. Incluye la remoción del esmalte anterior, limado y aplicación del nuevo color que elijas con esmaltado tradicional. ¡Perfecto para lucir siempre impecable! 💅",30 min,$11.00,,,,
Deco Nails Art 1 - SJ,PRECIO ABONANDO EN EFECTIVO✨,15 min,$3.00,,,,
Deco Nails Art 2- SJ,PRECIO ABONANDO EN EFECTIVO✨,15 min,$3.50,,,,
Esculpidas Polygel / Gel - SJ,"PRECIO ABONANDO EN EFECTIVO✨

Las uñas en gel se aplican con una capa de gel especial que se seca bajo luz UV, creando una uña resistente, flexible y de acabado brillante. Son ideales para quienes buscan uñas naturales, duraderas y con un toque de elegancia. 💅",2 hrs,$33.00,,,,
Esculpidas por unidad - SJ,"PRECIO ABONANDO EN EFECTIVO✨

La uña esculpida por unidad es un servicio que permite crear una extensión de uña individualmente, utilizando tips o gel. Ideal para reparar o dar forma a una sola uña dañada o para personalizar el diseño de cada una.",30 min,$6.00,,,,
Esculpidas Soft Gel - SJ,"Sof Gel es un Tips de alta calidad que se aplica sobre la uña natural para darle largo , forma y un acabado suave y natural. Ideal para quienes quieren una manicura con una textura flexible y un resultado impecable. 💅✨",2 hrs,$33.00,,,,
Kapping por unidad - SJ,"PRECIO ABONANDO EN EFECTIVO✨

El kapping por uña es un tratamiento que se utiliza para reparar uñas rotas o dañadas. Se aplica una pequeña capa de material ( gel ) sobre la zona afectada, para restaurar su forma y estructura, permitiendo que la uña siga creciendo de manera saludable.",30 min,$8.00,,,,
Kapping - SJ,"PRECIO ABONANDO EN EFECTIVO✨

Este servicio es ideal para quienes buscan uñas más duraderas. Aplicamos una fina capa de gel que las recubre, sin alargarlas, respetando su crecimiento natural. incluye esmaltado semipermanente 💅",1 hrs 30 min,$29.00,,,,
Retiro de Esmalte Semipermanente en Manos - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$6.00,,,,
Retiro Esculpidas - SJ,"PRECIO ABONANDO EN EFECTIVO✨

El retiro es un proceso seguro para eliminar la capa de gel aplicada, dejándote las uñas listas para un nuevo servicio o para lucirlas al natural. ¡Rápido y efectivo ! 💅",30 min,$12.00,,,,
Retiro Kapping - SJ,"PRECIO ABONANDO EN EFECTIVO✨

El retiro es un proceso seguro para eliminar la capa de gel aplicada, dejándote las uñas listas para un nuevo servicio o para lucirlas al natural. ¡Rápido y efectivo! 💅",30 min,$9.00,,,,
Semipermanente en manos - SJ,"PRECIO ABONANDO EN EFECTIVO✨

La manicuria semipermanente es el combo perfecto entre estilo y durabilidad. Ideal para quienes quieren lucir uñas perfectas sin preocuparse por retoques constantes.💅✨",1 hrs,$21.00,,,,
Service Esculpidas - SJ,"PRECIO ABONANDO EN EFECTIVO✨

El service es el servicio que se realiza después de 21 dias para retocar y cuidar tus uñas esculpidas. Se limpian, se liman y se rellena la raíz para que tus uñas sigan luciendo perfectas mientras crecen. Ideal para mantenerlas siempre impecables sin perder su forma ni belleza. 💅✨",1 hrs 30 min,$30.00,,,,
Service Kapping - SJ,"PRECIO ABONANDO EN EFECTIVO✨

El service es el servicio que se realiza después de 21 dias para retocar y cuidar tus uñas esculpidas. Se limpian, se liman y se rellena la raíz para que tus uñas sigan luciendo perfectas mientras crecen. Ideal para mantenerlas siempre impecables sin perder su forma ni belleza. 💅✨",1 hrs 30 min,$23.00,,,,
Masaje Relajante 30 minutos - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$22.00,,,,
Masajes Descontracturantes 60 minutos - SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$30.00,,,,
Masajes Relajante 60 minutos - SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$30.00,,,,
DÍA DE SPA ABRAZO,,Servicios asociados,,Paquete de servicios,Sauna seco 60min: 1 persona - SJ,Limpieza facial Profunda c/ punta de diamante + Radiofrecuencia facial - SJ,Masajes Descontracturantes 60 minutos - SJ
DÍA DE SPA ZEN,,Servicios asociados,,Paquete de servicios,Semipermanente en manos - SJ,,Belleza de pies Semipermanente - SJ
DÍA DE SPA ENERGY,,Servicios asociados,,Paquete de servicios,Sauna seco 60min: 1 persona - SJ,Limpieza facial Profunda c/ punta de diamante + Radiofrecuencia facial - SJ,Masajes Descontracturantes 60 minutos - SJ
DÍA DE SPA RELAX,,Servicios asociados,,Paquete de servicios,Sauna seco 60min: 1 persona - SJ,Reiki 30 minutos - SJ,Masajes Descontracturantes 60 minutos - SJ
Belleza de pies Semipermanente - SJ,"PRECIO ABONANDO EN EFECTIVO✨

Disfruta de una belleza de pies completa para tus pies: hidratación, exfoliación, y cuidado de uñas. Te ofrecemos opciones de esmalte semipermanente para un acabado duradero y perfecto. ¡Tus pies se lo merecen! 👣✨",1 hrs,$23.00,,,,
Belleza de pies Tradicional - SJ,"PRECIO ABONANDO EN EFECTIVO✨

Disfruta de una belleza de pies completa para tus pies: hidratación, exfoliación, y cuidado de uñas. Te ofrecemos opciones de esmalte tradicional para un acabado duradero y perfecto. ¡Tus pies se lo merecen! 👣✨",1 hrs,$18.00,,,,
Cambio de esmalte en pies - SJ,"PRECIO ABONANDO EN EFECTIVO✨

El cambio de esmalte en pies tradicional es un refresh rápido: removemos el esmalte viejo, limamos y aplicamos el color que elijas. ¡Sencillo, prolijo y perfecto para lucir esos pies a la moda! 💅✨",30 min,$11.00,,,,
Pedicura Semipermanente - SJ,"PRECIO ABONANDO EN EFECTIVO✨

Este servicio está diseñado para tratar durezas profundas y uñas encarnadas. Incluye limado de uñas, limpieza de cutículas, tratamiento de asperezas con bisturí y  torno e hidratación profunda. Además, finalizamos con esmalte semipermanente para un acabado duradero y elegante. ¡Pies suaves y perfectos! 👣✨",1 hrs,$26.00,,,,
Pedicuria - SJ,"PRECIO ABONANDO EN EFECTIVO✨

Este servicio está diseñado para tratar durezas profundas y uñas encarnadas. Incluye limado de uñas, limpieza de cutículas, tratamiento de asperezas con bisturí y  torno e hidratación profunda. Además, finalizamos con esmalte tradicional para un acabado perfecto y elegante. ¡Pies suaves y perfectos! 👣✨",1 hrs,$21.00,,,,
Retiro de esmalte semipermanente en pies - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$6.00,,,,
Extensión de Pestañas Clásicas (pelo x pelo) - SJ,"PRECIO ABONANDO EN EFECTIVO✨

La extensión de pestañas clásicas consiste en aplicar una sola pestaña artificial en cada pestaña natural, creando un efecto más largo y definido. Perfecto para quienes desean un look natural pero con más volumen y profundidad en la mirada. ¡Luce unas pestañas impecables todos los días! ✨👁️",1 hrs 30 min,$31.00,,,,
Extensión de Pestañas Volumen elegante (2D3D) - SJ,"PRECIO ABONANDO EN EFECTIVO✨

Las extensiones de pestañas 2d y 3d son una técnica en la que se colocan dos y tres extensiones finas por cada pestaña natural, logrando un efecto más denso y voluminoso. Perfecto para quienes desean una mirada más intensa y con un poco más de drama, sin que se vea demasiado recargado. ¡El volumen perfecto para una mirada deslumbrante! ✨👁️",2 hrs,$33.00,,,,
Extensión de Pestañas Vol. Glomour (ruso) - SJ,"PRECIO ABONANDO EN EFECTIVO✨

La extensión de pestañas ruso consiste en aplicar 3 y 4 pestañas artificial en cada pestaña natural, creando un efecto más largo y definido. Perfecto para quienes desean un look natural pero con más volumen y profundidad en la mirada. ¡Luce unas pestañas impecables todos los días! ✨👁️",2 hrs,$37.00,,,,
Extensión de Pestañas Mega vol. glomour- SJ,"PRECIO ABONANDO EN EFECTIVO✨

Las extensiones de pestañas Glomour consisten en aplicar 3-4-5 extensiones finas sobre cada pestaña natural, creando un volumen máximo y un efecto más dramático. Esta técnica es ideal para quienes desean una mirada intensa, con mucho cuerpo y un acabado lleno de impacto. ¡Una opción perfecta para lucir unas pestañas espectaculares y voluminosas! ✨👁️",2 hrs,$40.00,,,,
Service Extensión clásicas - SJ,"PRECIO ABONANDO EN EFECTIVO✨

El mantenimiento de pestañas clásicas se recomienda después de 15 a 20 días, cuando las extensiones comienzan a caer debido al ciclo natural de crecimiento de las pestañas. En este servicio, se retiran las extensiones caídas y se reponen las que lo necesitan para mantener una mirada impecable y llena de volumen. ¡Tus pestañas siempre perfectas! ✨👁️",1 hrs 30 min,$26.00,,,,
Service Extensión de Pestañas Vol. elegante (2D3D) - SJ,"PRECIO ABONANDO EN EFECTIVO✨

El mantenimiento de pestañas clásicas se recomienda después de 15 a 20 días, cuando las extensiones comienzan a caer debido al ciclo natural de crecimiento de las pestañas. En este servicio, se retiran las extensiones caídas y se reponen las que lo necesitan para mantener una mirada impecable y llena de volumen. ¡Tus pestañas siempre perfectas! ✨👁️",1 hrs 30 min,$29.00,,,,
Service Extensión de pestañas Vol. Glamour (ruso) - SJ,"PRECIO ABONANDO EN EFECTIVO✨

El mantenimiento de pestañas clásicas se recomienda después de 15 a 20 días, cuando las extensiones comienzan a caer debido al ciclo natural de crecimiento de las pestañas. En este servicio, se retiran las extensiones caídas y se reponen las que lo necesitan para mantener una mirada impecable y llena de volumen. ¡Tus pestañas siempre perfectas! ✨👁️",1 hrs 30 min,$32.00,,,,
Service Extensión de pestañas Mega Vol. Glamour - SJ,"PRECIO ABONANDO EN EFECTIVO✨

El mantenimiento de pestañas clásicas se recomienda después de 15 a 20 días, cuando las extensiones comienzan a caer debido al ciclo natural de crecimiento de las pestañas. En este servicio, se retiran las extensiones caídas y se reponen las que lo necesitan para mantener una mirada impecable y llena de volumen. ¡Tus pestañas siempre perfectas! ✨👁️",2 hrs,$35.00,,,,
Retiro de Extensión- SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$7.00,,,,
Lifting de pestañas - SJ,"PRECIO ABONANDO EN EFECTIVO✨

El lifting de pestañas es un tratamiento que levanta y curva las pestañas naturales, dándoles un efecto de mayor longitud y volumen sin necesidad de extensiones. Es ideal para quienes buscan una mirada más abierta y definida, con un resultado natural y duradero. ¡Pestañas con más intensidad y un look fresco! ✨👁️",1 hrs,$21.00,,,,
Lifting de pestañas con tinte - SJ,"PRECIO ABONANDO EN EFECTIVO✨

El lifting de pestañas es un tratamiento que levanta y curva las pestañas naturales, dándoles un efecto de mayor longitud y volumen sin necesidad de extensiones. Es ideal para quienes buscan una mirada más abierta y definida, con un resultado natural y duradero. ¡Pestañas con más intensidad y un look fresco! ✨👁️",1 hrs,$25.00,,,,
Tinte de pestañas - SJ,PRECIO ABONANDO EN EFECTIVO✨,20 min,$17.00,,,,
